,Attraction_name,Company,Rating,Reviews,Ticket_price,Free_cancellation,Overview,Location,Meeting_point,Attraction_page
56,Ground Zero Tour + Optional Access to 9/11 Museum and One World Observatory,ExperienceFirst,10.0,2,39.0,Free cancellation available,"OverviewGuided tour revealing stories of tragedy, courage & heroismSt. Paul's Chapel used as makeshift base by rescuers on 9/11Fireman's Memorial, the Oculus, and moreOptional Upgrade includes entry tickets to the 9/11 MuseumOptional Upgrade includes entry to the One World ObservatoryShow more","New York, New York, United States of America",209 Broadway,https://www.expedia.com/things-to-do/ground-zero-tour-optional-access-to-9-11-museum-and-one-world-observatory.a45677035.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
57,NYC: Statue of Liberty Sunset Cruise Skip-the-Line Ticket,New York Water Taxi,9.0,66,27.0,Free cancellation available,"OverviewSee the Statue of Liberty up close during a breathtaking sunset cruiseSip cocktails, wine, or beer from a full bar with hot and cold drinksRelax to great music on spacious outdoor decks with stunning viewsSpot famous sights like the Brooklyn Bridge and Lower ManhattanEnjoy indoor climate-controlled comfort or open-air deck seatingShow more",No Location,No Meeting Point,https://www.expedia.com/things-to-do/nyc-statue-of-liberty-sunset-cruise-skip-the-line-ticket.a50093548.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
58,New York City: Solo or Couples Photoshoot in Times Square!,Bee Lively Photography,10.0,1,125.0,Free cancellation available,OverviewProfessional Photographer with years of experienceBe accompanied by someone knowledgable of the cityReceive your photos within 72 hours of your shoot,No Location,No Meeting Point,https://www.expedia.com/things-to-do/new-york-city-solo-or-couples-photoshoot-in-times-square.a48313746.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
59,New York City: Superheroes of NYC Guided Walking Tour,TopDogTours,9.4,126,35.0,Free cancellation available,OverviewLearn about the history of some of your favorite comic book charactersSee the sites where your favorite superhero movies were filmedVisit iconic New York City landmarks and learn why they are important in comic book lore,No Location,No Meeting Point,https://www.expedia.com/things-to-do/new-york-city-superheroes-of-nyc-guided-walking-tour.a4765576.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
60,"Starship: 90 min Sightseeing Cruise Statue of Liberty, Downtown & Bridges",Starship Tours and Events,10.0,6,35.0,Free cancellation available,"OverviewComplimentary Digital Photographer Onboard90 min cruise dedicated time near the Statue of LibertyClimate controlled interiors plus multiple restroomsLive and captivating narration with engaging guidesFully stocked snack bar, including alcoholic beveragesShow more","455 12th Ave,",455 12th Avenue,https://www.expedia.com/things-to-do/nyc-statue-of-liberty-downtown-bridges-90-min-sightseeing-cruise.a49830553.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
61,Little Shop Of Horrors Off-Broadway,Broadway Inbound US,10.0,8,105.0,2h,"OverviewFollow a meek shop owner navigate how to handle a new breed Winner of the Best Musical Revival AwardCult favorites like Skid Row, Da-Doo, & Suddenly, SeymourGet close, but not too close to this iconic musicalDirected by Michael Mayer and choreography by Ellenore ScottShow more","New York, New York, United States of America","New York, New York, United States of America",https://www.expedia.com/things-to-do/little-shop-of-horrors-off-broadway.a5256811.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
62,New York Harbor Wine and Jazz Sail aboard Clipper City,Manhattan By Sail,9.0,9,140.0,Free cancellation available,"Activity locationClipper City Tall Ship - Operated by Manhattan By Sail89 South Street10038, New York, New York, United States",89 South Street,89 South Street,https://www.expedia.com/things-to-do/new-york-harbor-wine-and-jazz-sail-aboard-clipper-city.a732119.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
63,Half-Day Bus Tour of NYC Top Highlights,Experience NYC™,10.0,39,60.0,Free cancellation available,"Activity locationRockefeller Center45 Rockefeller Plaza, Rockefeller Centre10111-0100, New York City, New York, United States","45 Rockefeller Plaza, Rockefeller Centre",191 West 39th Street,https://www.expedia.com/things-to-do/half-day-bus-tour-in-new-york-city.a49070163.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
64,Central Park Pedicab Tour + Optional Natural History Access,ExperienceNYC,10.0,11,50.0,Free cancellation available,"OverviewEnjoy a private pedicab tour through Central Park with a local guideFun, informative narration with history, trivia, and movie locationsMultiple photo stops at iconic sites like Bethesda Fountain and Bow BridgeOption for tickets and drop-off at the American Museum of Natural History",No Location,No Meeting Point,https://www.expedia.com/things-to-do/central-park-nyc-movie-spots-pedicab-tour.a47673129.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
65,Death Becomes Her on Broadway,Broadway Inbound US,10.0,2,62.0,2h 25m,"OverviewEnjoy this story about frenemies and revengeStarring Tony Award® nominee Megan HiltySee the Grammy® Award winner Michelle WilliamsEnjoy this musical about friendship, love and much moreStarring Tony Award® nominee Jennifer SimardShow more",205 West 46th Street,205 West 46th Street,https://www.expedia.com/things-to-do/death-becomes-her-on-broadway.a48923579.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
66,Shopping at Jersey Gardens,New York Luxury Travel Inc,9.0,2,39.0,Free cancellation available,OverviewNew Jersey's largest outletTax Free ShoppingIncludes Transport,No Location,No Meeting Point,https://www.expedia.com/things-to-do/shopping-at-jersey-gardens.a47921364.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
67,"Small-Group New York Broadway Tour: History, Rehearsals & Insider Stories",Intrepid Travel,10.0,2,59.0,Free cancellation available,OverviewExplore iconic theaters in bustling Times SquareDiscover Broadway’s rich history and evolutionPeek inside a live rehearsal studioMeet the people behind the Broadway magicTour led by a B-Corp certified company committed to impactShow more,"New York, New York, United States of America",West 47th Street,https://www.expedia.com/things-to-do/nyc-small-group-broadway-behind-the-scenes-tour.a45502086.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
68,New York City: Central Park Electric Scooter Tour,Bike Rent NYC,9.4,112,79.0,Free cancellation available,"OverviewExplore the world-famous Central Park on an electric scooterLearn about the history of the park and its many landmarksAdmire the iconic Bethesda Fountain, Cleopatra's Needle, and moreSee the locations where many TV shows and movies were filmed",No Location,No Meeting Point,https://www.expedia.com/things-to-do/new-york-city-central-park-2-hour-electric-scooter-tour.a4576905.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
69,No Diet Club - Best street food tour in Brooklyn ! (NYC),NO DIET CLUB,10.0,7,82.0,Free cancellation available,OverviewMany tastings to shareHave a nice walk in BrooklynLeave this tour with a list of serious recommendations in NYC,No Location,No Meeting Point,https://www.expedia.com/things-to-do/no-diet-club-best-street-food-tour-in-brooklyn-nyc.a48364092.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
70,Guided Standard Central Park Horse Carriage Ride (Long Loop),NYCAdventures,9.0,9,185.0,Free cancellation available,OverviewExplore Central Park on a beautiful horse carriage.Learn about many historical and famous spots in the park.Ask questions to an informed & licensed guide.Enjoy the spectacular view at the Bethesta fountain.Take a fresh breath in the heart of a great city.Show more,78 Central Park South,78 Central Park South,https://www.expedia.com/things-to-do/guided-standard-central-park-horse-carriage-ride-long-loop.a560449.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
71,Skip-the-Line Metropolitan Museum of Art Highlights Tour,ExperienceFirst,10.0,4,65.0,Free cancellation available,"OverviewConnect with the art on a personal level.Discover new perspectives on old masterpieces.In summer, enjoy the sweeping views of Central Park.Hear the stories and secrets behind these iconic works.Explore the architectural beauty of the Metropolitan Museum.Show more",1000 5th Ave,1000 5th Ave,https://www.expedia.com/things-to-do/skip-the-line-metropolitan-museum-of-art-highlights-tour.a48556046.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
72,Half-Day Sightseeing Tour of Brooklyn,Tours with Dani,9.8,9,59.0,Free cancellation available,"Activity locationBrooklyn Bridge10038, New York City, New York, United States","10038, New York City, New York, United States",164 Bedford Avenue,https://www.expedia.com/things-to-do/half-day-sightseeing-tour-of-brooklyn.a46607489.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
73,Marvel Universe in New York Self-Guided Audio Tour,WeGo Trip,10.0,1,6.0,1h 30m,"OverviewLearn about Marvel series, cartoons, and moviesDiscover New York City's landmark locationsLearn about few Ages of Comics Tune into New York City's striking cinematic sceneryCatch up with the Spider-Man character creation storyShow more",135 West 50th Street,135 West 50th Street,https://www.expedia.com/things-to-do/marvel-universe-in-new-york-self-guided-audio-tour.a44928278.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
74,NYC: Central Park Pedicab Tour with Photo Stops,NYC Park Tours™,10.0,80,40.0,Free cancellation available,"OverviewMarvel at Manhattan from the unique perspective of a PedicabSee the Ice Rink, Bethesda Fountain, Bow Bridge, and Strawberry FieldsDiscover numerous places of historical significance and take photos",No Location,No Meeting Point,https://www.expedia.com/things-to-do/central-park-pedicab-tour-photo-stops.a48994685.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
